PM10,NO,NO2,NH3,SO2,CO,Ozone,Benzene,Toluene,PM2.5
82.12,11.94,16.29,11.41,13.41,0.72,27.35,0.41,1.44,63.12
82.43,12.08,16.61,11.13,13.71,0.73,27.67,0.41,1.51,63.43
82.83,11.97,15.85,11.45,11.41,0.73,27.17,0.41,1.44,63.83
70.52,12.28,16.2,11.36,11.18,0.76,27.21,0.42,1.41,51.52
79.97,11.68,16.26,11.51,10.53,0.76,27.78,0.39,1.45,60.97
81.7,12.12,16.19,11.31,10.99,0.74,27.8,0.43,1.45,62.7
83.92,12.35,16.12,11.38,11.5,0.73,27.29,0.42,1.46,64.92
72.06,12.1,16.02,11.48,11.49,0.76,27.97,0.41,1.46,53.05
67.89,12.09,16.1,11.42,11.05,0.74,27.16,0.41,1.44,48.88
61.9,11.92,15.84,11.38,11.28,0.75,27.47,0.42,1.44,42.9
51.41,12.01,16.21,11.05,9.68,0.74,27.44,0.4,1.47,32.41
44.98,12.15,16.04,11.2,8.15,0.75,27.25,0.41,1.45,25.98
47.98,12.19,15.79,11.23,8.34,0.73,27.47,0.42,1.47,28.98
41.69,12,15.66,11.27,8.83,0.72,27.62,0.41,1.43,22.69
40.62,11.86,15.65,11.28,12.16,0.74,27.78,0.42,1.46,21.62
40.16,12.05,16.17,11.43,11.27,0.75,27.17,0.42,1.42,21.16
70.82,11.88,16.43,11.33,10.74,0.74,27.37,0.41,1.44,51.82
83.61,11.8,15.86,11.46,11.14,0.72,27.63,0.41,1.46,64.61
86.17,12.04,15.82,11.4,12.81,0.75,26.8,0.41,1.47,67.17
78.1,12.12,16.02,11.26,12.83,0.75,27.58,0.41,1.44,59.1
78.66,12.06,15.89,11.22,12.95,0.74,27.95,0.41,1.46,59.66
68.69,12.01,15.8,11.27,13.3,0.73,27.34,0.42,1.45,49.69
67.38,12.13,15.96,11.3,12.46,0.75,27.22,0.42,1.48,48.38
67.75,11.98,16.36,11.2,11.24,0.75,26.91,0.41,1.44,48.74
59.96,12.21,15.46,11.29,12.06,0.75,27.39,0.41,1.46,40.96
54.12,12.02,16.23,11.39,13.66,0.73,27.65,0.41,1.45,35.12
58.01,12.13,16.48,11.3,11.12,0.75,27.35,0.4,1.45,39.01
66.04,12.03,15.82,11.18,11.56,0.75,26.95,0.42,1.45,47.04
67.08,11.77,15.77,11.25,12.28,0.74,26.91,0.42,1.45,48.08
71.5,12.11,15.78,11.28,11.21,0.74,27.44,0.41,1.45,52.5
71.56,11.84,16.4,11.29,9.46,0.75,27.57,0.41,1.46,52.55
63,12.16,15.75,11.2,10.53,0.75,28.29,0.42,1.45,44
59.66,12,15.9,11.29,10.18,0.73,31.11,0.41,1.4,40.66
54.77,11.85,15.98,11.19,14.27,0.74,28.75,0.41,1.45,35.77
48.53,11.9,16.09,11.46,8.21,0.71,27.95,0.42,1.45,29.53
48.69,12.12,16.02,11.4,5.47,0.73,27.24,0.41,1.45,29.69
44.43,12.36,16.02,11.52,5.65,0.72,26.46,0.41,1.44,25.43
36.88,12.14,16.13,11.33,5.31,0.74,28.14,0.4,1.47,17.88
36.88,12.14,15.62,11.14,8.34,0.73,27.76,0.42,1.45,17.88
33.68,12.53,15.58,10.98,9.77,0.74,28.21,0.42,1.44,14.67
35.2,11.82,16.19,11.39,11.33,0.72,27.57,0.41,1.43,16.2
56.6,12.26,16.08,11.2,13.05,0.74,27.69,0.42,1.43,37.6
57.17,11.95,15.09,11.1,9.54,0.73,27.72,0.4,1.44,38.17
52.51,11.98,16.14,11.43,9.92,0.74,28,0.41,1.44,33.51
56.23,12.09,16.02,11.28,9.45,0.74,27.21,0.41,1.44,37.23
49.49,11.65,15.57,11.28,9.21,0.75,27.16,0.41,1.46,30.49
53.05,11.75,15.76,11.03,11.25,0.78,27.18,0.44,1.55,34.05
89.23,12.05,16.31,11.12,18.37,0.76,25.77,0.41,1.41,70.38
60,12.28,15.91,11.16,22.07,0.74,28.92,0.41,1.41,41
41.65,11.7,15.75,11.31,22.06,0.74,27.47,0.42,1.46,22.65
46.22,11.79,15.66,11.31,22.25,0.72,27.37,0.41,1.43,27.22
57.83,12.35,16.44,11.23,13.25,0.73,27.61,0.39,1.48,38.83
64.82,11.97,16.13,11.04,12.53,0.73,27.36,0.41,1.47,45.82
73.68,11.8,16.3,11.4,11.66,0.74,27.41,0.42,1.44,54.68
83.84,12.18,16.33,11.34,11.77,0.73,27.77,0.42,1.45,64.84
None,None,None,None,None,None,None,None,None,None
None,11.97,16.46,11.39,13.04,0.72,None,0.42,1.41,None
None,11.78,15.88,11.36,13.71,0.74,27.47,0.41,1.42,None
None,11.57,15.7,11.39,11.86,0.73,20.29,0.36,1.57,None
None,12.31,16.13,11.05,None,0.7,23.33,0.4,1.55,None
None,12.41,16.1,11.1,11.18,0.74,26.68,0.41,1.46,None
None,12.55,16.01,11.51,12.97,0.75,27.92,0.42,1.48,None
None,12.01,15.68,11.13,13.61,0.73,27.64,0.4,1.46,None
None,11.76,15.86,11.24,14.91,0.74,27.25,0.41,1.46,None
None,12.03,16.18,11.31,15.54,0.73,27.3,0.42,1.45,None
None,12.1,15.73,11.01,13.88,0.76,27.64,0.41,1.45,None
None,12.02,16.24,11.17,13.85,0.74,27.44,0.42,1.44,None
None,12.11,16.36,11.54,12.43,0.75,27.8,0.42,1.49,None
None,11.74,16.04,11.42,12.5,0.74,27.2,0.41,1.47,None
None,11.95,15.94,11.06,10.07,0.73,27.02,0.41,1.46,None
None,12,15.52,11.16,9.37,0.75,27.21,0.4,1.43,None
None,12.19,16.03,11.32,8.84,0.73,27.33,0.41,1.46,None
None,11.86,16.23,11.49,8,0.75,27.09,0.4,1.47,None
None,12.19,15.55,11.32,11.12,0.73,27.64,0.41,1.46,None
None,12.3,15.9,11.37,10.65,0.72,28.03,0.4,1.45,None
None,12.12,16.05,11.19,9.96,0.74,27.46,0.41,1.45,None
None,11.61,15.57,11.29,9.59,0.74,27.31,0.41,1.41,None
None,12.01,15.83,11.43,13.75,0.75,27.26,0.4,1.47,None
None,12.13,16.32,11.21,13.96,0.75,27.64,0.41,1.44,None
None,12.05,16.41,11.26,14.57,0.74,27.64,0.41,1.46,None
None,11.79,15.8,11.13,13.83,0.75,28.24,0.41,1.47,None
None,11.77,15.52,11.07,13.5,0.71,29.01,0.41,1.45,None
None,12.22,15.52,11.03,8.45,0.74,26.96,0.41,1.44,None
None,11.35,15.66,None,None,0.68,21.61,0.42,1.43,None
None,11.72,15.98,11.15,8.99,0.72,25.69,0.42,1.42,None
None,11.61,15.98,11.24,12.34,0.72,28.37,0.41,1.47,None
None,12.08,15.87,11.14,6.64,0.74,27.43,0.41,1.47,None
None,12.29,16.39,11.42,5.95,0.75,27.6,0.43,1.44,None
None,11.82,15.97,11.33,6.75,0.73,27.37,0.41,1.44,None
None,11.79,16.05,11.13,7.05,0.73,27.65,0.41,1.45,None
None,12.38,16.38,11.43,10.63,0.76,27.59,0.4,1.44,None
None,11.81,15.67,11.36,9.71,0.73,27.07,0.41,1.44,None
None,12.05,16.03,11.44,11.55,0.74,27.57,0.41,1.47,None
None,11.88,15.84,11.31,11.66,0.73,26.92,0.41,1.43,None
None,12.12,15.98,11.27,10.33,0.75,27.28,0.42,1.46,None
None,12.36,16.41,11.46,9.61,0.76,27.23,0.41,1.44,None
None,12.06,16.37,11.23,9.95,0.74,27.36,0.41,1.46,None
None,12.34,16.19,11.29,10.39,0.73,24.79,0.42,1.47,None
None,12.29,16.14,11.44,11.17,0.73,27.23,0.41,1.43,None
None,11.72,15.93,11.47,9.63,0.74,27.49,0.42,1.46,None
None,12.22,16.12,11.37,9.93,0.75,27.32,0.42,1.46,None
None,11.7,16.25,11.38,9.12,0.74,27.47,0.41,1.47,None
None,12.46,16.02,11.47,9.84,0.74,27.74,0.42,1.44,None
None,12.1,16.39,11.29,6.87,0.74,27.42,0.41,1.44,None
None,11.99,16.26,11.1,6.3,0.75,27.6,0.41,1.46,None
None,11.86,16.18,11.45,5.5,0.74,27.64,0.41,1.44,None
None,12,15.96,11.56,5.46,0.75,28.1,0.41,1.42,None
None,12.01,15.77,11.12,11.4,0.74,28.84,0.41,1.44,None
None,12.09,16.45,11.3,11.44,0.72,27.87,0.41,1.47,None
None,11.89,15.54,11.36,11.71,0.74,27.55,0.41,1.44,None
None,12.16,16,11.21,10.72,0.74,27.78,0.42,1.44,None
None,12.09,15.89,11.36,12.38,0.74,27.33,0.41,1.46,None
None,11.96,16.04,11.47,13.15,0.73,27.55,0.42,1.44,None
None,12.16,15.88,11.2,13.06,0.74,27.55,0.42,1.46,None
None,11.53,15.94,11.32,13.62,0.73,27.47,0.41,1.46,None
None,11.95,15.78,11.42,11.74,0.75,27.32,0.41,1.46,None
None,12,16.44,11.38,11.57,0.76,27.16,0.43,1.45,None
None,12.08,16.02,11.27,11.65,0.74,27,0.41,1.42,None
None,12.15,15.99,11.36,11.91,0.74,26.91,0.41,1.46,None
None,11.8,15.59,11.13,10.69,0.73,27.16,0.42,1.46,None
None,11.95,15.86,11.3,10.06,0.74,26.98,0.42,1.41,None
None,12.01,16.09,11.27,9.72,0.74,26.91,0.42,1.44,None
None,12.07,16.3,11.2,9.79,0.74,27.48,0.42,1.4,None
None,12.05,15.56,11.29,8.21,0.75,26.89,0.42,1.47,None
None,12.33,16.13,11.41,7.08,0.74,22.03,0.4,1.45,None
None,11.64,16.17,11.33,9.31,0.75,27.29,0.41,1.43,None
None,11.87,16.19,11.25,8.79,0.74,27.34,0.41,1.47,None
None,12.21,16.23,11.49,7.33,0.76,27.29,0.42,1.47,None
None,11.91,16.17,11.15,6.07,0.75,26.98,0.41,1.41,None
None,12,15.27,11.22,5.87,0.74,26.54,0.42,1.47,None
None,11.76,16.32,11.18,5.39,0.76,28.18,0.41,1.44,None
None,12.02,16.11,11.3,10.19,0.73,28.3,0.42,1.44,None
None,11.87,16.43,11.41,9.73,0.72,28.13,0.4,1.41,None
None,12.07,15.82,11.45,9.55,0.73,28.79,0.4,1.48,None
None,11.31,16,11.26,7.99,0.73,28.13,0.4,1.44,None
None,11.75,16.24,11.21,11.67,0.74,28.08,0.4,1.46,None
None,11.79,15.71,11.43,11.94,0.74,27.49,0.41,1.47,None
None,11.97,15.88,11.19,14.14,0.72,27.49,0.42,1.41,None
None,11.86,16,11.23,14.06,0.74,26.78,0.41,1.46,None
None,11.8,16.33,11.23,13.31,0.75,27.49,0.41,1.46,None
